step: 0 | item: 0 | time: 0 (0) | value: HgUeyNFXICSxgWfQUWNOVrKPEGxPRYtwyycpvkfMNmksWrnKcF
step: 1 | item: 0 | time: 1002 (1002) | value: IhVfzOGYJDTyhXgRVXOPWsLQFHyQSZuxzzdqwlgNOnltXsoLdG
step: 0 | item: 1 | time: 2003 (1001) | value: TSySAPofZCeUPAOgOyFBPJRIYmeWnrpxjLoAwxhsCXosZvtDnY
step: 1 | item: 1 | time: 3015 (1012) | value: UTzTBQpgADfVQBPhPzGCQKSJZnfXosqykMpBxyitDYptAwuEoZ
step: 0 | item: 2 | time: 4015 (1000) | value: YFxSnkfUXRBngoktYNouzrdItijayPSmSjFGbAoLYNRdpsTsWD
step: 2 | item: 0 | time: 4015 (1000) | value: iHvFZogyjdtYHxGrvxopwSlqfhYqszUXZZDQWLGnoNLTxSOlDg
step: 1 | item: 2 | time: 5026 (1011) | value: ZGyTolgVYSCohpluZOpvaseJujkbzQTnTkGHcBpMZOSeqtUtXE
step: 3 | item: 0 | time: 5026 (1011) | value: hYqszUXZZDQWLGnoNLTxSOlDgiHvFZogyjdtYHxGrvxopwSlqf
step: 0 | item: 3 | time: 6028 (1002) | value: zoZnWQjVWXRbDGlgUbbrTHspOGgKuDOObxEaFtueZhlUgejQJn
step: 1 | item: 3 | time: 7041 (1013) | value: apAoXRkWXYScEHmhVccsUItqPHhLvEPPcyFbGuvfAimVhfkRKo
step: 2 | item: 1 | time: 8041 (1000) | value: utZtbqPGadFvqbpHpZgcqksjzNFxOSQYKmPbXYITdyPTaWUeOz
step: 0 | item: 4 | time: 8041 (0) | value: EQxeJrZAULCHFmiwOIyXUnSsSTkqCzEuMrczjpIneDSRAYmABZ
step: 1 | item: 4 | time: 9054 (1013) | value: FRyfKsABVMDIGnjxPJzYVoTtTUlrDaFvNsdakqJofETSBZnBCA
step: 2 | item: 2 | time: 11051 (1997) | value: zgYtOLGvyscOHPLUzoPVASEjUJKBZqtNtKghCbPmzosEQTuTxe
step: 2 | item: 3 | time: 14052 (3001) | value: APaOxrKwxysCehMHvCCSuiTQphHlVeppCYfBgUVFaIMvHFKrkO
step: 3 | item: 1 | time: 15067 (1015) | value: NFxOSQYKmPbXYITdyPTaWUeOzutZtbqPGadFvqbpHpZgcqksjz
step: 2 | item: 4 | time: 17059 (1992) | value: frYFkSabvmdigNJXpjZyvOtTtuLRdAfVnSDAKQjOFetsbzNbca
step: 3 | item: 2 | time: 18072 (1013) | value: JKBZqtNtKghCbPmzosEQTuTxezgYtOLGvyscOHPLUzoPVASEjU
step: 3 | item: 3 | time: 19087 (1015) | value: hHlVeppCYfBgUVFaIMvHFKrkOAPaOxrKwxysCehMHvCCSuiTQp
step: 3 | item: 4 | time: 20102 (1015) | value: uLRdAfVnSDAKQjOFetsbzNbcafrYFkSabvmdigNJXpjZyvOtTt
